task,aoa_months,source,confidence,notes
blimp_determiner_noun_agreement_1,27,Brown 1973 Stage II; Wordbank determiners,alta,DET-N concordancia regular; mediana rango 24-30
blimp_determiner_noun_agreement_2,27,Brown 1973 Stage II; Wordbank determiners,alta,DET-N concordancia regular; mediana rango 24-30
blimp_determiner_noun_agreement_with_adjective_1,30,Brown 1973; extension a adjetivos,media,concordancia DET-ADJ-N; rango 27-33
blimp_determiner_noun_agreement_with_adj_2,30,Brown 1973; extension a adjetivos,media,concordancia DET-ADJ-N; rango 27-33
blimp_determiner_noun_agreement_irregular_1,33,Brown 1973; irregulares emergen despues,media,DET con NPs irregulares; rango 30-36
blimp_determiner_noun_agreement_irregular_2,33,Brown 1973; irregulares emergen despues,media,DET con NPs irregulares; rango 30-36
blimp_determiner_noun_agreement_with_adj_irregular_1,36,estimacion experto,baja,DET-ADJ-N con irregulares; rango 33-39
blimp_determiner_noun_agreement_with_adj_irregular_2,36,estimacion experto,baja,DET-ADJ-N con irregulares; rango 33-39
blimp_transitive,27,Brown 1973 Stage II; Tomasello 1992,alta,estructuras transitivas; rango 24-30
blimp_intransitive,27,Brown 1973 Stage II; Tomasello 1992,alta,intransitivas; rango 24-30
blimp_animate_subject_trans,30,Tomasello 1992; Fisher 2002,media,sujeto animado + verbo transitivo; rango 27-33
blimp_causative,42,Gropen et al. 1989; Pinker 1989,media,alternancia causativa; rango 36-48
blimp_inchoative,42,Gropen et al. 1989; Pinker 1989,media,alternancia incoativa; rango 36-48
blimp_drop_argument,36,Rispoli 2005; estimacion experto,media,omision de argumento obligatorio; rango 33-39
blimp_regular_plural_subject_verb_agreement_1,33,Brown 1973 Stage III; CHILDES,media,concordancia SV plural regular; rango 30-36
blimp_regular_plural_subject_verb_agreement_2,33,Brown 1973 Stage III; CHILDES,media,concordancia SV plural regular; rango 30-36
blimp_irregular_plural_subject_verb_agreement_1,54,Rispoli 2005; Marcus et al. 1992,media,concordancia SV plural irregular (curva-U); rango 48-60
blimp_irregular_plural_subject_verb_agreement_2,54,Rispoli 2005; Marcus et al. 1992,media,concordancia SV plural irregular (curva-U); rango 48-60
blimp_irregular_past_participle_verbs,42,Marcus et al. 1992; Wordbank action_words,media,participio irregular (went/ate/ran); rango 36-48; curva-U esperada
blimp_irregular_past_participle_adjectives,42,Marcus et al. 1992; estimacion experto,media,participio irregular predicativo; rango 36-48
blimp_anaphor_number_agreement,42,Wexler 1994; Chien & Wexler 1990,baja,concordancia numero con anafora; rango 36-48
blimp_anaphor_gender_agreement,47,Wexler 1994; Chien & Wexler 1990,baja,concordancia genero con anafora; rango 40-54
blimp_principle_A_c_command,72,Chien & Wexler 1990; estimacion experto,baja,Principio A c-comando; rango 60-84
blimp_principle_A_case_1,72,Chien & Wexler 1990,baja,Principio A caso; rango 60-84
blimp_principle_A_case_2,72,Chien & Wexler 1990,baja,Principio A caso; rango 60-84
blimp_principle_A_domain_1,66,Chien & Wexler 1990,baja,Principio A dominio local; rango 60-72
blimp_principle_A_domain_2,66,Chien & Wexler 1990,baja,Principio A dominio local; rango 60-72
blimp_principle_A_domain_3,66,Chien & Wexler 1990,baja,Principio A dominio local; rango 60-72
blimp_principle_A_reconstruction,78,Chien & Wexler 1990; estimacion experto,baja,Principio A con reconstruccion; rango 72-84
blimp_animate_subject_passive,54,Maratsos et al. 1985; Gordon & Chafetz 1990,media,pasiva con sujeto animado; rango 48-60
blimp_passive_1,54,Maratsos et al. 1985,media,construccion pasiva; rango 48-60
blimp_passive_2,54,Maratsos et al. 1985,media,construccion pasiva; rango 48-60
blimp_existential_there_subject_raising,48,estimacion experto,baja,there-existencial raising sujeto; rango 42-54
blimp_existential_there_object_raising,48,estimacion experto,baja,there-existencial raising objeto; rango 42-54
blimp_existential_there_quantifiers_1,48,estimacion experto,baja,there-existencial con cuantificadores; rango 42-54
